ID;EigenaarBewoner;KenmerkenVanHuishoudens;Perioden;ParticuliereHuishoudens_1;GemiddeldeHypotheekschuldEigenWoning_2;GemiddeldeWaardeEigenWoning_3;GemiddeldBrutoInkomen_4;GemiddeldBesteedbaarInkomen_5;HypotheekschuldWoningwaarde_6;HypotheekschuldBrutoInkomen_7;HypotheekschuldBesteedbaarInkomen_8;GeenSchuld_9;k_0Tot07_10;k_07Tot08_11;k_08Tot09_12;k_09Tot10_13;k_1OfHoger_14;GeenSchuld_15;k_0Tot2_16;k_2Tot4_17;k_4OfHoger_18;GeenSchuld_19;k_0Tot35_20;k_35Tot7_21;k_7OfHoger_22
873;A050412;1050015;2009JJ00;620.4;140.8;239.9;;;0.66;;;0;326.5;44.6;52.2;63.8;133.2;;;;;;;;
874;A050412;1050015;2010JJ00;630.7;141.9;224.8;;;0.72;;;0;307.8;41.2;45.3;52.4;184;;;;;;;;
875;A050412;1050015;2011JJ00;653;142.2;230.5;50;29.3;0.7;2.78;4.78;0;327.5;43.7;48.5;55.1;178.3;0;207;287.4;158.7;0;224.7;281.7;146.6
876;A050412;1050015;2012JJ00;677.2;143.9;219.7;50.7;29.5;0.74;2.77;4.81;0;320.1;43.4;47.4;52.9;213.5;0;212.6;302.7;162;0;228.4;299.1;149.7
877;A050412;1050015;2013JJ00;691.2;143.3;197.6;51.1;29.9;0.82;2.73;4.7;0;296.2;40.8;41.7;45.3;267.1;0;218.7;312.8;159.6;0;236.3;316.6;138.3
878;A050412;1050015;2014JJ00;694.5;141.4;197.1;53.1;31.4;0.81;2.64;4.49;0;300.7;42.8;43.9;47.9;259.2;0;229.5;316.7;148.4;0;249.8;325;119.7
879;A050412;1050015;2015JJ00;689.4;140.2;201.5;52.3;31.5;0.78;2.62;4.37;0;308;46.2;48.4;53.1;233.7;0;226.4;318.8;144.2;0;253.1;327.3;109.1
880;A050412;1050015;2016JJ00;709.4;139.4;209.9;53.6;32.6;0.74;2.55;4.18;0;333.6;51.6;55.3;66.6;202.2;0;243;328.9;137.5;0;273.6;337.7;98.1
881;A050412;1050015;2017JJ00;722.3;138.8;224.4;55.7;33.6;0.69;2.47;4.07;0;367.2;60.1;66.8;83.9;144.2;0;258.5;335.5;128.2;0;288.7;343.5;90
882;A050412;1050015;2018JJ00;733.3;139.3;243.1;56.7;34.3;0.63;2.4;3.96;0;411.2;71;81.7;75.4;93.9;0;271.8;340;121.5;0;303.6;346.4;83.3
883;A050412;1050015;2019JJ00;746.4;140.4;266.2;59.9;36.6;0.57;2.31;3.79;0;473;83.4;78.7;54.7;56.6;0;295.2;335.7;115.4;0;331.3;338.6;76.5
884;A050412;1050015;2020JJ00;751.4;141.1;283.7;60.6;37.3;0.53;2.26;3.65;0;522.6;81.8;65.1;41.6;40.3;0;309.8;326.8;114.8;0;352;325.3;74.1
885;A050412;1016010;2006JJ00;2690;154.6;281.7;;;0.53;;;0;1706.2;185.8;179.6;197.5;420.9;;;;;;;;
886;A050412;1016010;2007JJ00;2734.9;164.7;299;;;0.54;;;0;1714.9;198.7;206.8;231.6;382.9;;;;;;;;
887;A050412;1016010;2008JJ00;2784;174.9;312;;;0.56;;;0;1709.3;211.4;224.7;251.4;387.2;;;;;;;;
888;A050412;1016010;2009JJ00;2798.1;184.3;309.7;;;0.6;;;0;1616.6;211.6;219.9;242.3;507.6;;;;;;;;
889;A050412;1016010;2010JJ00;2824.7;189.3;289.3;;;0.67;;;0;1473.7;204.8;206.1;218.9;721.2;;;;;;;;
890;A050412;1016010;2011JJ00;2851.4;192.8;291.6;89.9;52;0.68;2.09;3.54;0;1464.1;211.9;216.3;230.6;728.6;0;1353.8;1150.9;346.7;0;1409.1;1164.5;277.7
891;A050412;1016010;2012JJ00;2888.3;196.5;277.8;91.1;52.1;0.74;2.11;3.61;0;1364.9;206.8;208.7;222.1;885.7;0;1355.3;1176.1;356.8;0;1391.7;1207.7;288.8
892;A050412;1016010;2013JJ00;2906.8;197.1;249.4;92.3;52.7;0.83;2.1;3.6;0;1203.3;188.9;189.6;195.4;1129.5;0;1368.2;1188.5;350.1;0;1405.7;1223.5;277.5
893;A050412;1016010;2014JJ00;2892.4;196.3;248;96.6;56;0.84;2.05;3.47;0;1179.4;190.4;193;203.1;1126.6;0;1404.5;1175.1;312.9;0;1462;1198.2;232.3
894;A050412;1016010;2015JJ00;2872.6;195.4;253.6;94.6;55.5;0.82;2.05;3.41;0;1197.2;198.3;205.4;222.3;1049.6;0;1391.1;1178.9;302.6;0;1482.8;1172.1;217.7
895;A050412;1016010;2016JJ00;2898.5;195.5;263.5;97.7;58.1;0.79;1.99;3.28;0;1253.7;213.7;229.2;272.1;929.7;0;1454.5;1171;273;0;1581;1131.2;186.3
896;A050412;1016010;2017JJ00;2915.7;197.2;281.4;102.5;60.4;0.75;1.94;3.21;0;1340.6;245.4;278.4;344.4;707.1;0;1521;1153.6;241.1;0;1638.9;1110;166.8
897;A050412;1016010;2018JJ00;2935.8;200.4;304.5;105.2;62.1;0.7;1.9;3.16;0;1465.1;295.6;348.6;335.2;491.4;0;1573.6;1134.5;227.7;0;1691.1;1085.4;159.3
898;A050412;1016010;2019JJ00;2958.6;203.8;331.5;112.8;67.2;0.65;1.83;3.02;0;1651;356.7;361.8;267.9;321.2;0;1668.9;1080.5;209.3;0;1798.2;1015.5;144.9
899;A050412;1016010;2020JJ00;2964.7;205.5;355.2;114.5;68.5;0.6;1.79;2.94;0;1823.9;377.1;324.7;211;228.1;0;1712.6;1041.6;210.5;0;1864.2;956.7;143.8
900;A050412;1050190;2006JJ00;111.9;135.8;259.5;;;0.54;;;0;73.1;8.8;7.7;7.4;14.9;;;;;;;;
901;A050412;1050190;2007JJ00;119.5;144.7;274;;;0.55;;;0;77.3;10.1;9.4;9.1;13.7;;;;;;;;
902;A050412;1050190;2008JJ00;127.3;154.6;284;;;0.58;;;0;80.2;11.5;10.6;10.4;14.5;;;;;;;;
903;A050412;1050190;2009JJ00;133.1;162.6;281.7;;;0.61;;;0;78.4;12.4;11.4;11.2;19.7;;;;;;;;
904;A050412;1050190;2010JJ00;143.5;169.3;264.8;;;0.68;;;0;75;13.6;12.4;11.8;30.7;;;;;;;;
905;A050412;1050190;2011JJ00;144.9;172.4;264;62.4;38.3;0.68;2.71;4.29;0;74.9;14;13.2;12.2;30.6;0;48.9;58.3;37.7;0;55.3;61.6;28
906;A050412;1050190;2012JJ00;154.6;177.7;252.7;63.3;38.2;0.74;2.74;4.43;0;71.7;14.6;14;13.4;40.8;0;50.2;63.7;40.7;0;55.6;67.3;31.7
907;A050412;1050190;2013JJ00;162.9;179.2;226.9;64.1;38.6;0.83;2.72;4.38;0;63.6;13.8;13.8;13.5;58.2;0;52.5;68.3;42.1;0;58.6;71.8;32.5
908;A050412;1050190;2014JJ00;168;178.5;225.7;66.7;40.5;0.83;2.65;4.25;0;64.8;14.3;14.5;14.3;60.2;0;55.9;71.8;40.3;0;62.9;74.6;30.5
909;A050412;1050190;2015JJ00;167.8;176.5;230.3;67.5;41.1;0.81;2.53;4.06;0;68.3;14.8;14.8;14.8;55.1;0;58.5;74.1;35.2;0;66.7;74.7;26.3
910;A050412;1050190;2016JJ00;175.2;176.5;239;69.8;43;0.78;2.45;3.88;0;75;16;16.2;17.2;50.9;0;64.2;76.7;34.3;0;74.9;76.1;24.2
911;A050412;1050190;2017JJ00;176.5;175.9;253;73.4;44.8;0.74;2.34;3.75;0;81.7;17.5;18.3;20.5;38.5;0;69.2;77.3;30.1;0;79.5;75.8;21.2
912;A050412;1050190;2018JJ00;181.6;178.4;273.4;76.1;46.4;0.69;2.28;3.65;0;92.3;20.3;22;19.6;27.4;0;74.1;79.1;28.4;0;84.9;77;19.7
913;A050412;1050190;2019JJ00;187.7;180.4;297.9;81.2;49.8;0.64;2.18;3.49;0;108.5;23.8;22.1;15.2;18;0;82.2;79;26.5;0;94.1;75.3;18.3
914;A050412;1050190;2020JJ00;190.9;181.5;315.3;82.9;51;0.6;2.13;3.39;0;121.5;24.7;19.4;11.9;13.5;0;87;77.4;26.5;0;99.9;72.9;18
915;A050412;1050055;2006JJ00;2475.1;154.4;281;;;0.53;;;0;1574.6;169.6;164.5;181.3;385.1;;;;;;;;
916;A050412;1050055;2007JJ00;2508.9;164.6;298.4;;;0.54;;;0;1578.1;180.5;188.5;211.9;350;;;;;;;;
